NASDAQ,SP500,GOLD,SILVER
2279.1,1322.7,933.5,17.99
2261.18,1315.22,934.25,18.36
2280.83,1325.76,946.75,18.2
2324.36,1341.13,946.75,18.07
2341.05,1352.99,926.75,17.57
2326.75,1349.88,925.75,17.53
2258.11,1329.51,925.75,17.53
2209.96,1298.42,958.5,19.88
2268.26,1330.74,1006.75,20.38
2177.01,1276.6,1011.25,20.92
2212.49,1288.14,1003.5,20.41
2263.61,1315.48,995,20.79
2243.87,1308.77,975.5,19.7
2255.76,1320.65,970,20.25
2169.34,1273.37,969.25,19.57
2212.49,1293.37,972.5,20.22
2220.5,1304.34,976.5,20.8
2272.81,1333.7,974.5,19.48
2260.28,1326.75,984.75,20.32
2258.6,1331.34,988.5,20.16
2271.48,1330.63,971.5,19.62
2331.57,1367.68,959.75,19.24
2353.78,1380.02,959.5,19.33
2344.99,1381.29,937,18.12
2327.48,1371.8,937.75,18.06
2303.35,1353.11,943,17.94
2299.78,1342.53,945,17.98
2327.1,1360.03,920,17.42
2306.2,1348.78,924,17.25
2321.8,1349.99,903.25,17.01
2321.8,1349.99,912.5,17.38
2332.54,1348.86,906,17.26
2373.93,1367.21,899,16.98
2320.04,1348.86,917,17.46
2320.06,1339.13,918,17.37
2304.85,1331.29,916.25,16.95
2293.03,1336.91,899.75,16.7
2278.75,1326.45,903,16.48
2309.57,1336.64,887.5,16.51
2382.85,1380.82,893.75,16.7
2413.36,1395.42,914.75,17.19
2389.86,1378.55,923.25,16.74
2349,1355.81,919,16.76
2358.06,1362.3,924.5,16.75
2349.91,1353.96,921.75,16.44
2326.2,1330.61,918.25,16.53
2360.92,1352.07,909.25,16.35
2316.41,1338.6,888.25,15.95
2292.27,1310.5,875,15.57
2340.02,1325.19,871.25,15.77
2340.02,1325.19,882,15.82
2346.9,1333.25,888.25,15.88
2394.59,1373.2,889.75,15.85
2417.59,1380.95,913,16.24
2478.3,1416.25,902,16.5
2439.94,1401.02,891,16.06
2488.52,1420.33,884.25,15.62
2474.55,1409.13,877,16
2440.51,1390.19,873.5,15.48
2499.46,1416.18,859.25,15.24
2504.65,1411.63,855,15.27
2602.68,1447.16,858.85,15.38
2609.63,1447.16,846.75,14.93
